time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
4.2583,94.9496,-24.0758,89.8713,15666.9,6853.73,661614
4.2750,94.8647,-24.2118,89.7292,15640.1,6785.03,625758
4.2917,95.1735,-24.1474,90.0307,15790,6802.57,693078
4.3083,95.1429,-24.1426,89.975,15941.2,6830.88,713366
4.3250,95.1723,-24.2027,89.9873,15846.6,6792.25,660704
4.3417,95.1129,-24.2609,89.8995,15869,6799.77,688703
4.3583,95.0872,-24.2665,89.8468,15964.2,6831.35,680452
4.3750,94.9792,-24.3125,89.7107,15976.9,6851.26,656973
4.3917,94.9453,-24.3345,89.6641,15927.9,6832.96,696930
4.4083,94.9027,-24.328,89.6023,15995.4,6833.86,663741
4.4250,94.9368,-24.2886,89.6152,16211.9,6957.04,704130
4.4417,94.9461,-24.2537,89.6216,16357.1,7037.48,711809
4.4583,94.8626,-24.2917,89.5241,16429.9,7037.05,753850
4.4750,94.6894,-24.314,89.3331,16357,7003.51,708296
4.4917,94.5066,-24.4527,89.0787,16311,6976.86,739658
4.5083,94.367,-24.5336,88.894,16210.6,6919.11,747034
4.5250,94.103,-24.6273,88.5841,16200.1,6911.25,715877
4.5417,93.9887,-24.6391,88.4586,16094.1,6841.07,694192
4.5583,93.8252,-24.7074,88.2574,16047.8,6823.71,716921
4.5750,93.5789,-24.7152,87.9776,16072.1,6811.13,723890
4.5917,93.3558,-24.7779,87.7101,16148.6,6823.37,776308
4.6083,93.069,-24.9119,87.3695,16208.7,6856.26,757986
4.6250,92.7507,-24.9861,87.0034,16417,6941.78,784436
4.6417,91.8391,-24.6753,86.1513,16846.3,7116.94,794416
4.6583,90.9562,-24.3663,85.3599,16875.7,7120.44,819593
4.6750,90.9153,-24.2979,85.3537,16745.5,6903.11,804949
4.6917,90.6761,-24.3322,85.0859,16583.4,6768.7,791759
4.7083,90.4475,-24.5671,84.7545,16445.4,6600.09,752955
4.7250,90.0016,-24.5794,84.2738,16301.5,6518.72,787098
4.7417,89.3502,-24.5036,83.6335,16440.1,6556.3,759595
4.7583,88.8514,-24.1097,83.2266,16555.1,6522.98,786087
4.7750,88.2462,-23.8815,82.6868,16521.6,6315.31,756628
4.7917,88.2039,-23.8269,82.6576,16176.9,6068.94,788591
4.8083,88.026,-24.0828,82.3668,15860.3,5860.13,742821
4.8250,87.6854,-24.176,81.9601,15715.3,5847.6,782826
4.8417,87.3902,-24.3226,81.5837,15543.7,5796.99,757436
4.8583,87.308,-24.7596,81.3385,15284.4,5658.43,710211
4.8750,87.4474,-24.7908,81.4352,15212.8,5692.86,747832
4.8917,87.5781,-24.6977,81.5582,15268,5822.67,738296
4.9083,87.3414,-24.7231,81.2785,14949.8,5778.49,718762
4.9250,87.1808,-24.6428,81.1292,14727.6,5724.94,718315
4.9417,87.0188,-24.6721,80.9328,14439.4,5618.05,681540
4.9583,86.893,-24.6436,80.8042,14117.9,5616.54,699519
4.9750,86.8976,-24.6839,80.7856,13813.7,5560.81,691277
4.9917,86.9471,-24.7955,80.7771,13537.9,5557.2,694740
5.0083,87.1312,-24.9331,80.8934,13344.4,5507.71,700448
5.0250,87.2068,-25.0656,80.919,13307.2,5486.73,669274
5.0417,87.0537,-25.0482,80.7495,13157.2,5506.96,670326
5.0583,87.0782,-25.0513,80.7391,13006.4,5443.02,701055
5.0750,86.8855,-24.9792,80.5336,12891.1,5418.78,687150
5.0917,86.9564,-24.9976,80.5762,12746.6,5449.02,701959
5.1083,87.3024,-25.0785,80.8926,12632.2,5478.95,685606
5.1250,87.6907,-25.1781,81.2461,12553,5464.29,682198
5.1417,87.6725,-25.1774,81.212,12494.4,5503.63,670925
5.1583,87.5856,-25.0577,81.1431,12411.2,5551.66,673436
5.1750,87.0118,-24.9279,80.5827,12347.2,5534.34,646543
5.1917,86.9956,-24.9935,80.5287,12195.2,5540.22,641518
5.2083,86.8715,-25.0171,80.3766,12054,5527.98,690699
5.2250,87.1073,-25.1094,80.565,11964.5,5576.97,645682
5.2417,87.0226,-24.9779,80.5063,11889,5595.02,658136
5.2583,87.2716,-25.0556,80.7142,11792.8,5680.29,674678
5.2750,87.2871,-25.0806,80.706,11764,5726.44,662066
5.2917,87.4908,-25.1007,80.9067,11783.9,5790.16,649861
5.3083,87.5789,-25.0942,80.9949,11700.3,5780.02,641169
5.3250,87.3932,-25.0599,80.803,11625.6,5834.26,681688
5.3417,86.9723,-25.0836,80.3441,11473.7,5799.26,655915
5.3583,86.9583,-25.1063,80.2876,11377.4,5843.26,663007
5.3750,87.2578,-25.2171,80.5285,11381.3,5843.82,645088
5.3917,87.2602,-25.1984,80.5277,11352.2,5893.04,653370
5.4083,87.399,-25.2075,80.6488,11260,5935.22,674713
5.4250,87.4894,-25.2139,80.7247,11329.4,6011.06,663213
5.4417,87.6411,-25.3067,80.8287,11292.6,6040.06,662292
5.4583,87.959,-25.4058,81.103,11253.5,6060.27,662310
5.4750,87.8065,-25.2998,80.9651,11234.1,6076.5,658485
5.4917,87.8795,-25.3512,80.9928,11252.6,6179.67,633007
5.5083,87.8168,-25.288,80.9347,11173,6235.01,634538
5.5250,87.9194,-25.3716,80.998,11159.5,6297.5,667028
5.5417,88.0875,-25.3121,81.1791,11173.9,6324.43,664454
5.5583,87.5807,-25.1956,80.6847,11155.3,6340.3,649831
5.5750,87.4297,-25.2433,80.4945,11186.7,6387.16,670473
5.5917,87.5286,-25.3436,80.5374,11183.9,6450.1,632039
5.6083,88.5876,-25.516,81.5476,11157.9,6501.77,640542
5.6250,88.7404,-25.5271,81.6859,11254.5,6531.63,631675
