time, L, magnetic local time
6.995123694444444595e+01,5.998222195999999506e+00,1.214044654000000056e+00
7.098527805555555403e+01,4.998612059333333413e+00,2.130989605866666636e+00
7.167664638888888362e+01,3.995844309999999844e+00,3.006248529833333460e+00
7.222373472222221835e+01,2.998834022666666765e+00,4.090752303200000384e+00
7.268064888888888220e+01,1.996949812657576429e+00,5.790786075350641049e+00
7.375103194444444910e+01,2.004103923000000176e+00,1.912598504480000017e+01
7.419295305555554876e+01,3.000238336041450182e+00,2.088279197223150874e+01
7.471903500000000520e+01,4.000467504499999549e+00,2.201387277088333150e+01
7.537137277777777911e+01,5.003706597499999909e+00,2.293097382775000170e+01
7.631119083333332753e+01,6.001852921666666951e+00,2.389035026466666523e+01
7.926263138888889159e+01,5.999366699333333663e+00,2.239148489600000236e+00
8.025459555555555369e+01,4.996440581333333242e+00,3.218129503733333507e+00
8.090989749999999958e+01,3.994938616666666942e+00,4.193718135533333502e+00
8.140287999999999613e+01,2.999334890151678312e+00,5.447821442783260970e+00
8.177562805555555769e+01,1.998840844000000061e+00,7.292625330666666628e+00
8.268369277777777882e+01,2.005387566000000010e+00,1.912452439915000113e+01
8.311659638888889390e+01,3.000525681078687334e+00,2.115496288763529975e+01
8.366973583333333409e+01,4.001361016666666437e+00,2.234300008199999965e+01
8.439121861111111400e+01,5.001876323437978833e+00,2.321371909523345067e+01
8.553770444444444365e+01,6.000118664500000421e+00,9.318383959999999855e-02
8.778042222222222790e+01,5.998507613666666849e+00,1.441034675550000088e+00
8.888661222222222591e+01,4.996557456048508428e+00,2.281151398346562775e+00
8.959602250000000367e+01,3.997347740882518430e+00,3.082318058938679606e+00
9.016415583333333927e+01,2.996794272108818991e+00,4.135004875663818247e+00
9.065113250000000278e+01,1.998592186666666715e+00,5.962787066666667357e+00
9.166140472222221547e+01,2.006250929062379118e+00,1.834639378986409142e+01
9.211235166666666885e+01,3.000431800166666552e+00,2.031331098621666698e+01
9.265647333333333791e+01,4.000086876128500002e+00,2.151189814798842903e+01
9.334489000000000658e+01,5.000814607112578969e+00,2.243850286269972116e+01
9.433868916666666848e+01,6.000710866219939099e+00,2.336725420616117077e+01
9.701959916666666572e+01,5.999066800000000477e+00,1.448198453333333413e+00
9.799653527777778095e+01,4.999820240000000027e+00,2.419022287000000215e+00
9.867588611111111163e+01,3.996533166999999942e+00,3.363626340750000221e+00
9.920794888888889318e+01,2.998445498000000153e+00,4.506281334983333053e+00
9.964983472222222360e+01,1.993081120000000039e+00,6.253290898133332831e+00
1.006931613888888819e+02,2.000229609333333158e+00,1.953486882213333331e+01
1.011591374999999999e+02,3.000990124999999953e+00,2.133324571166666672e+01
1.016972516666666735e+02,4.001309623742236532e+00,2.242156410833201718e+01
1.023646297222222188e+02,5.003919419999999896e+00,2.328974687966666934e+01
1.033463227777777718e+02,6.001033507631054142e+00,1.874365966426306540e-01
1.059641333333333364e+02,5.999683268166666750e+00,1.987199900883333203e+00
1.070222352777777814e+02,4.999350259999999935e+00,2.869770380999999926e+00
1.077316500000000019e+02,3.996150196833333279e+00,3.774363507449999933e+00
1.082937758333333278e+02,2.995277573418954731e+00,5.051598842225760500e+00
1.087567108333333294e+02,1.994568837666666816e+00,7.432510246400000575e+00
1.096226894444444468e+02,2.001812015266664524e+00,1.864074044036166100e+01
1.100435741666666729e+02,3.001018701666666733e+00,2.065752842566666914e+01
1.105666580555555498e+02,4.003561428000000255e+00,2.185987437266666689e+01
1.112580858333333396e+02,5.003537426666666121e+00,2.276096363253333266e+01
1.123779558333333313e+02,6.000964385627033160e+00,2.368180302584817554e+01
1.147433127777777742e+02,5.998214331000000676e+00,1.190221614199999944e+00
1.158344786111111091e+02,4.999492888449594830e+00,2.068429263134929919e+00
1.165378816666666637e+02,3.995589011717318950e+00,2.896327963949604900e+00
1.170939944444444478e+02,2.998169383000000021e+00,3.945116814199999933e+00
1.175689500000000010e+02,1.994675864675242716e+00,5.688733438911124374e+00
1.186212902777777742e+02,2.001179938996101804e+00,1.861859542973522963e+01
1.190722366666666687e+02,3.001046277926598727e+00,2.047394409414857819e+01
1.196103533333333360e+02,4.003310323389280612e+00,2.163268416038135911e+01
1.202717213888888921e+02,5.003640426666666308e+00,2.254362851066666806e+01
1.211966763888888892e+02,6.000927585674793008e+00,2.346944387268452203e+01
1.240695172222222169e+02,5.998511148333332876e+00,1.858945073999999975e+00
1.250644975000000017e+02,4.998092168646115496e+00,2.902229098919544281e+00
1.257168013888888822e+02,3.995979091999999788e+00,3.874694536399999834e+00
1.262127961111111176e+02,2.993460587499999992e+00,5.038773985699999791e+00
1.266156086111111136e+02,1.998039438419343838e+00,6.767067002705207557e+00
1.275928025000000048e+02,2.000119278666666833e+00,1.945063034200000018e+01
1.280768205555555426e+02,3.003116804108958871e+00,2.145485174371754411e+01
1.286450000000000102e+02,4.000414879753271258e+00,2.256325721984411103e+01
1.293514644444444457e+02,5.001206637072052708e+00,2.339438411786053251e+01
1.303930147222222331e+02,6.000263595585103360e+00,2.215237503849935286e-01
1.327464166666666756e+02,5.998226111833333540e+00,1.667228772533333236e+00
1.338075286111111097e+02,4.999377851920852933e+00,2.473415641718536229e+00
1.345259652777777717e+02,3.999573139999999860e+00,3.288529733199999860e+00
1.351061297222222208e+02,2.997382816268595818e+00,4.406116513069467722e+00
1.356051369444444390e+02,1.998675504000000158e+00,6.492760112800000094e+00
1.365523058333333211e+02,2.005508822719898721e+00,1.828820232462725670e+01
1.369972411111111228e+02,3.003135594499999783e+00,2.033112283135000098e+01
1.375293422222222262e+02,4.003558604166666868e+00,2.153567550416666876e+01
1.382237752777777757e+02,5.003577170000000685e+00,2.245991746480000018e+01
1.393226111111111152e+02,6.001303656163236688e+00,2.341796831599665651e+01
1.417779836111111251e+02,5.999687960000000153e+00,1.131651896800000001e+00
1.428150441666666666e+02,4.996698098999999615e+00,2.049259626700000059e+00
1.435034183333333431e+02,3.999278832499999936e+00,2.918310179799999737e+00
1.440535199999999918e+02,2.997311084308734941e+00,4.006295917381760496e+00
