time,L,MLT,number density,bmag,wavemags
2.817166666666666708e-01,6.034781778412991571e+00,2.092144650742480394e+01,7.656406295776366733e+01,1.402242763330084188e+02,1.095970586209925801e-03
2.847458333333333091e-01,6.037031843705968903e+00,2.092403026576123182e+01,7.656515485763549123e+01,1.400852706220688049e+02,1.535324762827902591e-04
2.877747222222222234e-01,6.039281702665586060e+00,2.092661378716429610e+01,7.189687564722697743e+01,1.396452511767576539e+02,8.968517384990103668e-04
2.908036111111111377e-01,6.041531561625203217e+00,2.092919730856735683e+01,7.292981022898368337e+01,1.399927258173798350e+02,3.409015034588383747e-04
2.938324999999999965e-01,6.043781420584820374e+00,2.093178082997042111e+01,6.954369938278198049e+01,1.399419756923830960e+02,7.826510818605866534e-04
2.968613888888889107e-01,6.046031279544437531e+00,2.093436435137348184e+01,7.656511921056112158e+01,1.401006604296878493e+02,5.461551179317251405e-04
2.998899999999999899e-01,6.048259959203130087e+00,2.093694274173831360e+01,7.656506840515136503e+01,1.400029292109376229e+02,6.360952386112947183e-04
3.029188888888889042e-01,6.050482557580395770e+00,2.093951990180274692e+01,6.954324779764810671e+01,1.400709675781245664e+02,3.810512931829512047e-04
3.059472222222222038e-01,6.052704748291048098e+00,2.094209658916724237e+01,7.656643332163493199e+01,1.395363078964828389e+02,7.639983597823706701e-04
3.089763888888888976e-01,6.054927550501620459e+00,2.094467398558164462e+01,7.225493488947550702e+01,1.392221390634767602e+02,3.641259670473831716e-04
3.120049999999999768e-01,6.057149945045579464e+00,2.094725090929610545e+01,6.954599761962890625e+01,1.390158947705084245e+02,8.609239104177863902e-04
3.150341666666666707e-01,6.059365477333332528e+00,2.094982665793333254e+01,6.954601810836791742e+01,1.388718235859362551e+02,9.680405152788039815e-04
3.180630555555555294e-01,6.061560816000000074e+00,2.095239763940000088e+01,6.954699707031250000e+01,1.384110295429694872e+02,4.765166589593093898e-04
3.210925000000000029e-01,6.063756557333332964e+00,2.095496909243333405e+01,7.196707661437984882e+01,1.383996406220698248e+02,7.286633755417493358e-04
3.241216666666666413e-01,6.065952097333332738e+00,2.095754030968333126e+01,7.324959525299078678e+01,1.383306146162105676e+02,4.976655540418512425e-04
3.271513888888888943e-01,6.068148039999999632e+00,2.096011199850000040e+01,7.159223342259731737e+01,1.377944343427748493e+02,7.276298206275054383e-04
3.301805555555555327e-01,6.070343579999999406e+00,2.096268321574999760e+01,6.955000305175781250e+01,1.375935317626970686e+02,6.188998854100778409e-04
3.332102777777777858e-01,6.072520058216152705e+00,2.096525045575552681e+01,7.605261560058603720e+01,1.376927958496076485e+02,2.935766480070845516e-04
3.362397222222222037e-01,6.074690352498743451e+00,2.096781609258959378e+01,7.657151119740804290e+01,1.378184974365227333e+02,1.560588877949811281e-03
3.392691666666666772e-01,6.076860646781334196e+00,2.097038172942366074e+01,7.657243685531615540e+01,1.373181191484384840e+02,3.560951670216297199e-04
3.422988888888888748e-01,6.079031140063950289e+00,2.097294760150775872e+01,7.657261892191569075e+01,1.371705012275397735e+02,5.340233329762425051e-04
3.453286111111111278e-01,6.081201633346566382e+00,2.097551347359185669e+01,7.657299804687500000e+01,1.372632320478513748e+02,1.006901567474165898e-03
3.483580555555555458e-01,6.083364263460381949e+00,2.097807752954576443e+01,7.668765976333615697e+01,1.369871531376946621e+02,4.535608801319746127e-04
3.513875000000000193e-01,6.085505474514912194e+00,2.098063716741247831e+01,7.786860565185543237e+01,1.368119555166007046e+02,6.846955144086164279e-04
3.544169444444444372e-01,6.087646685569441551e+00,2.098319680527919218e+01,7.200987915293373476e+01,1.367158674218754868e+02,3.848257745838194917e-04
3.574463888888889107e-01,6.089787896623971797e+00,2.098575644314590605e+01,7.657599639892578125e+01,1.364054970341814794e+02,9.946240679383144215e-04
3.604755555555555491e-01,6.091928911345193320e+00,2.098831584631265201e+01,7.457238700358074368e+01,1.360545337187505766e+02,7.019878728990865081e-04
3.635047222222222429e-01,6.094069926066415732e+00,2.099087524947939443e+01,7.027619962437952950e+01,1.360539820488281180e+02,2.898200108974652084e-04
3.665336111111111017e-01,6.096191364000000057e+00,2.099343012676666831e+01,7.657607679748535645e+01,1.359988074023442266e+02,7.867553851100104892e-04
3.695627777777777956e-01,6.098306934000000012e+00,2.099598389601666781e+01,7.473415509033210924e+01,1.358488510761723376e+02,4.910453480589774310e-04
3.725911111111110952e-01,6.100421921999999775e+00,2.099853696271666692e+01,7.657644488525390614e+01,1.355687852050789388e+02,7.489294727179143579e-04
3.756200000000000094e-01,6.102537298000000554e+00,2.100109049778333414e+01,7.657662884521484159e+01,1.358670980517568694e+02,3.831110168044478599e-04
3.786486111111110886e-01,6.104652480000000381e+00,2.100364379866666553e+01,7.657700347900390625e+01,1.354041479492179292e+02,4.415865413808316002e-04
3.816777777777777825e-01,6.106761458262831788e+00,2.100619606116405436e+01,7.657701014200846146e+01,1.353445864628903905e+02,2.843091447981815336e-04
3.847063888888888616e-01,6.108851199657395981e+00,2.100874354678235179e+01,7.657717954889933765e+01,1.355229529287131527e+02,3.632629020730621821e-04
3.877352777777777759e-01,6.110941132718602731e+00,2.101129126605061614e+01,7.657736211522420433e+01,1.352834131806640414e+02,4.246687196809854404e-04
3.907638888888889106e-01,6.113030874113167812e+00,2.101383875166891357e+01,7.657854429880778468e+01,1.353198229257795902e+02,4.304415595283041089e-04
3.937930555555555490e-01,6.115120998841016231e+00,2.101638670458714842e+01,7.657900238037109375e+01,1.352531290605472520e+02,7.182700166180116738e-04
3.968219444444444632e-01,6.117210931902222981e+00,2.101893442385541277e+01,7.657909549585977516e+01,1.349025050898442828e+02,4.043974145282407508e-04
3.998511111111111016e-01,6.119279059726440373e+00,2.102147839026216047e+01,7.657909166463215911e+01,1.347944752910157149e+02,5.297911337119660296e-04
4.028800000000000159e-01,6.121339915994781222e+00,2.102402083992654269e+01,8.430754290771484705e+01,1.348687246757799301e+02,1.334516212884844953e-03
4.059094444444444338e-01,6.123401150263171111e+00,2.102656375592431814e+01,7.657891109720866041e+01,1.347628185400393193e+02,2.602955914064005913e-04
4.089388888888889073e-01,6.125462384531560112e+00,2.102910667192209360e+01,7.657900238037109375e+01,1.345904307490215501e+02,6.493084948000868873e-04
4.119686111111111049e-01,6.127523807799975408e+00,2.103164982108656389e+01,7.657900238037109375e+01,1.348671817568358904e+02,8.676320142089715814e-04
4.149977777777777987e-01,6.129578373333333552e+00,2.103419111533333208e+01,7.657900238037109375e+01,1.345752465478530269e+02,2.761956267397936023e-04
4.180277777777777759e-01,6.131614533333332950e+00,2.103672904333333449e+01,7.657918561299642590e+01,1.341972001113282715e+02,3.160369153036027214e-04
4.210572222222222494e-01,6.133650320000000100e+00,2.103926650600000059e+01,7.658036729685466071e+01,1.344991691396478188e+02,9.404557294367993543e-04
4.240869444444444469e-01,6.135686293333333374e+00,2.104180420133333485e+01,7.658100128173828125e+01,1.341565077353532729e+02,1.025308314804639553e-03
4.271163888888888649e-01,6.137722079999999636e+00,2.104434166400000095e+01,7.866654211044290435e+01,1.340795706357428401e+02,8.517880663986221934e-04
4.301461111111111180e-01,6.139758053333332910e+00,2.104687935933333520e+01,7.658108890024820425e+01,1.342172906972649287e+02,1.272410770909401714e-03
4.331755555555555359e-01,6.141773297302955292e+00,2.104941298715156606e+01,7.658109589640299930e+01,1.341883479013654039e+02,6.576005026841688595e-04
4.362047222222222298e-01,6.143781634541453762e+00,2.105194512782185967e+01,7.658127829615274607e+01,1.338076635283199209e+02,5.993775344300198826e-04
4.392338888888888682e-01,6.145789971779951344e+00,2.105447726849215329e+01,8.075769501749660151e+01,1.339983092431649254e+02,9.958084040281500651e-04
4.422633333333333416e-01,6.147798493185091750e+00,2.105700964136241637e+01,8.154365853881832038e+01,1.337835470332032060e+02,1.038021561520303211e-03
4.452922222222222004e-01,6.149806646256946507e+00,2.105954154983274407e+01,7.658200073242187500e+01,1.335920706289062991e+02,8.750687499360388375e-05
4.483213888888888943e-01,6.151808128645589235e+00,2.106207236537244398e+01,6.961032191467270991e+01,1.337944810771484185e+02,2.113094950579216238e-04
4.513502777777777530e-01,6.153789022236851203e+00,2.106459900423476839e+01,7.658219046147664244e+01,1.333852609267567857e+02,9.205863359432848395e-05
4.543791666666666673e-01,6.155769915828114058e+00,2.106712564309708924e+01,7.658274532318115746e+01,1.334639003945308104e+02,6.499972747380215353e-04
4.574077777777778020e-01,6.157750627752685446e+00,2.106965205024271626e+01,8.431255572509765273e+01,1.335837255292975101e+02,7.184370917584018135e-04
4.604366666666666608e-01,6.159731521343948302e+00,2.107217868910503711e+01,8.228800451660166004e+01,1.331702945214836120e+02,2.945909913310417881e-04
4.634655555555555750e-01,6.161712414935210269e+00,2.107470532796736151e+01,8.369991518656398455e+01,1.333431967626966923e+02,8.660699451136267017e-04
4.664941666666666542e-01,6.163672716666666496e+00,2.107722806106666624e+01,7.658410307693480945e+01,1.329048306298828379e+02,2.046971198772836863e-04
