time_hrs,B_in_out,B_squash,B_left_right
4.866667,0.17390,0.03325,0.07846
4.883333,-0.01957,0.27269,-0.04933
4.900000,-0.02629,0.10274,-0.06815
4.916667,-0.07168,-0.00583,-0.02173
4.933333,-0.06578,-0.09001,-0.03492
4.950000,-0.05227,-0.16044,-0.00837
4.966667,-0.06370,-0.09581,0.04582
4.983333,0.00215,-0.01623,-0.00005
5.000000,0.07172,0.18669,-0.01793
5.016667,0.10078,0.20670,0.08014
5.033333,0.06270,0.03418,0.09628
5.050000,-0.01776,-0.02800,-0.00878
5.066667,-0.08010,-0.24928,-0.11331
5.083333,-0.08613,-0.32920,-0.12995
5.100000,-0.01977,-0.00883,-0.02619
5.116667,0.07471,0.23711,0.07889
5.133333,0.08851,0.33627,0.08919
5.150000,-0.01470,0.21313,0.03106
5.166667,-0.07875,-0.11825,-0.02198
5.183333,-0.03960,-0.22853,-0.00566
5.200000,0.03769,-0.14891,0.01711
5.216667,0.05228,-0.08038,-0.00540
5.233333,-0.02534,-0.02914,-0.02735
5.250000,-0.02328,0.01078,-0.06600
5.266667,0.03173,0.05875,-0.07159
5.283333,0.01162,0.12938,0.02572
5.300000,-0.01149,0.26110,0.09916
5.316667,-0.02508,0.10266,0.09499
5.333333,-0.02252,-0.29497,0.03653
5.350000,0.01964,-0.20639,-0.07105
5.366667,0.03702,0.04100,-0.09109
5.383333,0.02096,0.03586,-0.02769
5.400000,-0.03450,0.04466,-0.00416
5.416667,-0.06209,-0.03097,0.00801
5.433333,0.01877,-0.00208,0.03697
5.450000,0.04469,0.08022,0.05868
5.466667,-0.00051,-0.03376,0.02664
5.483333,-0.00652,-0.06238,-0.05455
5.500000,0.00185,-0.02574,-0.05673
5.516667,0.04469,0.14288,0.02167
5.533333,0.00658,0.30708,0.05005
5.550000,-0.09190,-0.02164,0.01367
5.566667,-0.05128,-0.46482,-0.04842
5.583333,0.03020,-0.31039,-0.05462
5.600000,0.07227,0.23860,0.02561
5.616667,0.05325,0.31078,0.05202
5.633333,-0.03692,-0.05515,0.02060
5.650000,-0.02955,-0.10212,-0.00410
5.666667,0.01576,0.08615,-0.04791
5.683333,-0.04410,0.03644,-0.03683
5.700000,-0.04501,-0.09001,0.02939
5.716667,0.04544,0.03212,0.04357
5.733333,0.05657,0.10627,0.01380
5.750000,0.01744,-0.04569,-0.00945
5.766667,-0.00958,-0.13028,-0.03294
5.783333,-0.04476,-0.10242,-0.03102
5.800000,-0.04113,-0.00312,0.02203
5.816667,0.01523,0.10624,0.02924
5.833333,0.04734,0.15697,-0.00637
5.850000,0.00924,0.06107,-0.01139
5.866667,-0.00916,-0.12571,-0.01218
5.883333,-0.00228,-0.03386,0.02029
5.900000,-0.05054,0.03602,0.02688
5.916667,-0.02107,-0.12625,-0.02987
5.933333,0.06691,-0.06852,-0.02199
5.950000,0.03324,0.04722,0.01562
5.966667,-0.01574,0.07830,0.01096
5.983333,-0.00205,0.10984,-0.00097
6.000000,-0.01168,0.04996,-0.00846
6.016667,-0.05054,-0.02008,0.00049
6.033333,-0.04191,-0.08832,0.00094
6.050000,0.05719,-0.02896,-0.01482
6.066667,0.09568,0.00811,0.00954
6.083333,-0.00776,-0.13274,0.04128
6.100000,-0.05657,-0.01897,0.01000
6.116667,-0.01915,0.11854,-0.03913
6.133333,-0.03421,0.01669,-0.04410
6.150000,-0.02332,0.04303,-0.01099
6.166667,0.04392,0.07627,0.02974
6.183333,0.04311,-0.00707,0.03627
6.200000,0.02531,-0.06439,0.01217
6.216667,0.02075,-0.06892,0.00066
6.233333,-0.02913,-0.02200,-0.00918
6.250000,-0.04124,0.01505,-0.02223
6.266667,-0.01733,0.05215,-0.01331
6.283333,-0.02957,0.00822,-0.00413
6.300000,-0.01965,-0.07034,0.00461
6.316667,0.02791,0.01090,0.01725
6.333333,0.06522,0.05745,0.00989
6.350000,0.05741,0.00209,-0.00003
6.366667,0.00063,-0.02773,-0.01450
6.383333,-0.04814,-0.03602,-0.01339
6.400000,-0.05518,0.05149,0.02629
6.416667,-0.01704,0.08723,0.02029
6.433333,0.01633,-0.00606,-0.02891
6.450000,-0.00214,-0.03855,-0.03058
6.466667,-0.00156,-0.07572,0.00155
6.483333,0.00838,-0.11133,0.03009
6.500000,0.00588,-0.03445,0.03332
6.516667,0.03853,0.05672,-0.01077
6.533333,0.02568,0.13403,-0.04653
6.550000,0.00301,0.15473,-0.02483
6.566667,0.00850,0.03562,0.02968
6.583333,-0.06177,-0.09516,0.06428
6.600000,-0.07104,-0.16707,0.01139
6.616667,0.00865,-0.14028,-0.04947
6.633333,0.02111,0.04536,-0.02912
6.650000,0.02889,0.13997,-0.01935
6.666667,0.05032,0.09035,-0.00560
6.683333,0.02824,0.03922,0.02752
6.700000,-0.03398,-0.07819,0.02324
6.716667,-0.07390,-0.13124,0.02788
6.733333,-0.01050,-0.05916,0.00551
6.750000,0.05155,0.06668,-0.03170
6.766667,0.03010,0.17240,-0.01367
6.783333,0.00871,0.07047,-0.00455
6.800000,-0.00860,-0.07695,-0.00318
6.816667,-0.05186,-0.10473,0.01255
6.833333,-0.04047,-0.07201,0.00679
6.850000,0.03324,0.01683,-0.00211
6.866667,0.04660,0.02666,-0.00254
6.883333,0.01762,0.01061,-0.01334
6.900000,0.00543,0.08369,-0.00809
6.916667,-0.02752,0.03711,0.01725
6.933333,-0.04600,-0.07685,0.01506
6.950000,-0.01881,-0.02883,0.00850
6.966667,0.03224,0.01270,0.00623
6.983333,0.05955,-0.01326,-0.01783
7.000000,0.02133,0.03473,-0.03092
7.016667,-0.03108,0.01685,-0.01254
7.033333,-0.05885,-0.07046,0.02202
